"","n","m","type"
"1",360,100,"Glasso"
"2",360,75,"MB"
"3",360,125,"Hybrid.MB"
"4",360,250,"ACLIME"
"5",360,225,"CLIME"
"6",360,125,"GreedyAndPrune"
