"","n","err","type"
"1",240,948.588712911548,"Glasso"
"2",240,237.848336559824,"MB"
"3",240,244.879240920941,"Hybrid MB"
"4",240,396.018939999685,"CLIME"
"5",240,1415.36636486203,"ACLIME"
"6",240,152.963537120398,"GreedyAndPrune"
